username, created_at, lng, lat, text
Jermane01286847, Mon Feb 01 23:06:03 +0000 2021, -82.669467, 40.365160, https://t.co/WRg0XkeFPt 
dancingdreaa, Mon Feb 01 23:06:03 +0000 2021, -98.540651, 29.417501, @ElPanamanianKid Desperate times call for desperate measures 
queennefertitir, Mon Feb 01 23:06:03 +0000 2021, -73.968542, 40.780709, 7 days a week ... 12 hours a day 🤑🤑🤑 
DerekJamesNBA, Mon Feb 01 23:06:03 +0000 2021, -122.555403, 45.432668, @jessichords I was convinced you would’ve already thought of that. 
dangeroushockey, Mon Feb 01 23:06:03 +0000 2021, -81.421222, 41.386393, Hope “Everyone Is....”? https://t.co/f61wuow4oK 
WMonsy, Mon Feb 01 23:06:03 +0000 2021, -87.732013, 41.833585, @drmgonzalez7 @31Rlugo @MariolaPR Que jodienda... 
Ray_Miller_007, Mon Feb 01 23:06:03 +0000 2021, -73.620953, 41.571677, @JBonniego @Alba_Dawn @SpeakerPelosi You have play a mental game in your head:- Idiot- No idiot If "idiot" :Can… https://t.co/CXYXvAHrug 
t4tear, Mon Feb 01 23:06:03 +0000 2021, -98.143610, 26.199082, @ashleyresisting Following...👍 
mijoimxde, Mon Feb 01 23:06:04 +0000 2021, -95.446486, 29.838495, I really got a headache from this shit 
AlyxSacksKCCI, Mon Feb 01 23:06:04 +0000 2021, -93.774755, 41.564257, This 😑 ➡️ to this 🥴 #iawx 
MavChemCotton, Mon Feb 01 23:06:04 +0000 2021, -85.978600, 35.830522, @DJSchrum2 @HobbyConnector @Hobby_Connect @sports_sell I’m in 
TessieMarie98, Mon Feb 01 23:06:04 +0000 2021, -93.478628, 45.025658, Sad that while I was putting in my shipping information the shirt sold out, but at least I got the socks!! https://t.co/o4UOLQhQaW 
kyvirginaj, Mon Feb 01 23:06:04 +0000 2021, -85.768241, 37.822244, @funder @mtgreenee YES! 
marionamec, Mon Feb 01 23:06:04 +0000 2021, -74.665028, 40.349650, Quina il·lusió em farà el dia que estigui depre i l'spotify m'ho recordi 
MidState_Aero, Mon Feb 01 23:06:04 +0000 2021, -94.808085, 38.886623, #hoseassembly #parkerdistributor #madeinkansas https://t.co/9hf3HEljkv 
Mswgm57, Mon Feb 01 23:06:04 +0000 2021, -76.558131, 39.146350, Excellent!! 
NosotrosOrg, Mon Feb 01 23:06:04 +0000 2021, -118.411907, 34.020789, Affirm this quote out loud to yourself today. It will lead you to where you’re supposed to be. ⁣⁣⁣Are you at peac… https://t.co/aK3UDJnhvC 
sbird1016, Mon Feb 01 23:06:04 +0000 2021, -80.926628, 33.631140, @dawny005 Goodness!!!! Sending you good thoughts. It’s just so much anxiety!!!! I am not amused at the district’s s… https://t.co/B7BnonnDxz 
MidnighterBae, Mon Feb 01 23:06:04 +0000 2021, -79.179013, 37.400955, .@ScoutComics’ Metalshark Bro is an uproariously funny and cartoonishly violent take on both the Faustian bargain a… https://t.co/IqTeIijQ4S 
beingexemplaryX, Mon Feb 01 23:06:04 +0000 2021, -77.604684, 41.117936, I see no downsides here. 
Colby_May_, Mon Feb 01 23:06:04 +0000 2021, -84.266174, 30.476216, @coachv21 ↪️ 👊 
